51
100
34 34 34   18 18 18   18 18 18   18 18 18   18 18 18   18 18 18   18 18 18   18 18 18   18 18 18   18 18 18   18 18 18   18 18 18   18 18 18   18 18 18   18 18 18   18 18 18   17 17 17   17 18 18   17 17 17   19 18 19   24 22 22   29 32 36   57 63 66   61 60 61   65 61 58   66 62 59   66 65 65   66 66 67   42 37 38   26 23 24   18 17 17   17 17 17   17 17 17   19 18 18   18 17 18   18 18 18   18 18 18   18 18 18   18 18 18   18 18 18   18 18 18   18 18 18   18 18 18   18 18 18   18 18 18   18 18 18   18 18 18   18 18 18   18 18 18   18 18 18   34 34 34   
17 17 17   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 1   0 1 0   0 0 0   2 1 0   29 25 26   38 31 34   37 33 0   38 36 37   39 37 38   41 39 40   42 40 41   44 42 43   45 43 44   47 45 46   47 45 46   48 46 47   50 48 50   52 50 53   53 51 54   54 52 55   56 56 56   57 57 57   58 58 58   58 58 58   59 59 59   62 62 62   64 63 64   65 64 67   65 66 68   69 68 71   30 26 27   1 0 0   1 1 1   1 2 2   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   17 17 17   
18 18 18   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   0 1 2   0 2 1   1 1 0   3 1 0   29 24 25   38 32 0   38 33 36   38 36 37   39 37 38   41 39 40   42 40 41   44 42 43   45 43 44   47 45 46   47 45 46   48 46 47   50 48 50   52 50 53   53 51 54   54 52 55   56 56 56   57 57 57   58 58 58   58 58 58   59 59 59   62 62 62   63 63 64   64 65 67   66 66 68   74 69 73   39 30 33   3 0 0   2 1 2   1 2 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   18 18 18   
18 18 18   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   0 1 3   1 1 2   2 0 0   4 2 1   29 24 25   39 32 36   38 32 0   38 36 37   39 37 38   41 39 40   42 40 41   44 42 43   45 43 44   47 45 46   47 45 46   48 46 47   50 48 50   52 50 53   53 51 54   54 52 55   56 56 56   57 57 57   58 58 58   58 58 58   59 59 59   62 62 62   64 63 64   65 64 67   66 65 68   74 70 74   43 32 36   5 0 0   4 2 2   1 2 2   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   18 18 18   
18 18 18   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   0 1 2   1 1 1   1 0 0   4 1 0   29 23 25   39 32 0   39 33 36   38 36 37   39 37 38   41 39 40   42 40 41   44 42 43   45 43 44   47 45 46   47 45 46   48 46 47   50 48 50   52 50 53   53 51 54   54 52 55   56 56 56   57 57 57   58 58 58   58 58 58   59 59 59   62 62 62   64 63 64   65 64 67   66 66 68   72 70 73   36 30 32   4 0 0   3 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   18 18 18   
17 17 17   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   1 0 1   0 0 0   0 1 0   4 1 0   29 25 26   38 31 34   38 33 0   38 36 37   39 37 38   41 39 40   42 40 41   44 42 43   45 43 44   47 45 46   47 45 46   48 46 47   50 48 50   52 50 53   53 51 54   54 52 55   56 56 56   57 57 57   58 58 58   58 58 58   59 59 59   62 62 62   63 63 64   64 64 67   66 66 68   68 67 70   22 18 19   3 0 1   3 2 2   1 1 1   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   17 17 17   
18 18 18   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 2   1 1 1   1 1 0   2 1 0   25 22 23   38 32 0   38 33 36   38 36 37   39 37 38   41 39 40   42 40 41   44 42 43   45 43 44   47 45 46   47 45 46   48 46 47   50 48 50   52 50 53   53 51 54   54 52 55   56 56 56   57 57 57   58 58 58   58 58 58   59 59 59   62 62 62   63 63 64   64 64 67   67 68 70   64 64 66   8 6 7   1 0 1   2 2 2   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   18 18 18   
18 18 18   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   0 0 0   11 9 10   0 31 32   38 0 36   38 36 37   39 37 38   41 39 40   42 40 41   44 42 43   45 43 44   47 45 46   47 45 46   48 46 47   50 48 50   52 50 53   53 51 54   54 52 55   56 56 56   57 57 57   58 58 58   58 58 58   59 59 59   62 62 62   63 63 64   62 63 65   69 68 71   61 60 63   6 7 7   0 0 0   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   18 18 18   
17 17 17   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   1 0 0   0 0 0   0 1 0   0 0 0   4 2 3   30 26 27   37 34 0   38 36 37   39 37 38   41 39 40   42 40 41   44 42 43   45 43 44   47 45 46   47 45 46   48 46 47   50 48 50   52 50 53   53 51 54   54 52 55   56 56 56   57 57 57   58 58 58   58 58 58   59 59 59   62 62 62   63 63 64   65 66 68   69 66 69   22 19 22   0 1 0   0 2 1   1 0 1   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   17 17 17   
18 18 18   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   2 0 1   1 1 1   0 2 1   0 2 2   0 0 0   23 21 22   41 37 38   38 36 37   39 37 38   41 39 40   42 40 41   44 42 43   45 43 44   47 45 46   47 45 46   48 46 47   50 48 50   52 50 53   53 51 54   54 52 55   56 56 56   57 57 57   58 58 58   58 58 58   59 59 59   62 62 62   61 61 62   67 67 69   57 52 56   8 6 8   1 2 1   0 2 1   2 0 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   18 18 18   
18 18 18   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   2 0 1   1 1 1   0 2 1   1 3 2   1 1 1   6 5 5   33 28 30   43 36 40   37 34 36   38 38 38   41 41 41   43 42 43   45 43 44   47 45 46   47 45 46   48 46 47   50 48 50   52 50 53   53 51 54   54 52 55   56 56 56   57 57 57   58 58 58   58 58 58   59 59 59   63 62 63   58 56 57   71 64 67   26 22 23   0 0 0   1 2 1   1 1 1   2 0 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   18 18 18   
17 17 17   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   1 0 1   1 1 1   0 2 1   0 1 0   1 1 1   0 0 0   10 7 7   33 29 30   40 36 37   39 37 37   42 41 42   44 42 43   45 43 44   47 45 46   47 45 46   48 46 47   50 48 50   52 50 53   53 51 54   54 52 55   56 56 56   57 57 57   58 58 58   58 58 58   60 58 59   63 61 62   69 65 66   42 36 38   3 1 1   0 0 0   0 0 0   0 0 0   1 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   17 17 17   
18 18 18   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   2 0 1   1 1 1   0 2 1   0 2 1   1 1 1   1 1 1   2 1 1   9 10 7   42 38 37   46 41 40   45 39 41   46 42 43   46 43 44   47 45 46   47 45 46   48 46 47   50 48 50   52 50 53   53 51 54   54 52 55   56 56 56   57 57 57   58 57 58   59 57 58   61 58 59   70 66 67   54 49 51   3 0 0   3 2 1   2 1 1   1 1 1   1 1 1   1 0 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   18 18 18   
18 18 18   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   2 1 1   1 1 1   1 1 1   0 1 0   1 1 1   0 0 0   1 2 0   3 4 3   19 17 16   40 33 33   50 41 42   47 40 41   47 45 44   47 45 45   47 45 46   48 46 47   50 48 50   52 50 53   53 51 54   54 52 55   55 55 56   56 56 58   58 57 58   61 59 60   67 63 64   51 47 48   23 20 20   1 0 0   2 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   18 18 18   
18 18 18   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   0 0 0   0 0 0   0 0 0   0 0 0   1 2 1   1 0 0   9 3 4   36 26 28   44 36 37   49 44 43   47 44 44   47 45 47   48 46 47   50 48 50   52 50 53   53 51 54   54 52 55   54 54 56   56 56 58   59 58 61   63 61 62   32 29 30   2 0 0   0 0 0   0 0 0   0 0 0   0 0 0   2 2 2   3 3 3   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   18 18 18   
17 17 17   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   2 3 3   4 4 4   4 4 4   4 5 5   6 6 8   8 4 8   7 3 4   2 0 0   26 19 19   51 42 43   47 42 43   47 46 47   48 46 47   50 48 50   52 50 53   53 51 54   54 52 55   54 53 58   56 56 58   61 61 64   32 32 32   7 7 7   7 6 6   8 7 7   8 8 8   8 8 8   8 8 7   0 0 0   0 0 0   1 1 1   1 1 2   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   17 17 17   
18 18 18   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   2 2 1   6 6 6   25 25 25   34 34 34   33 32 33   34 33 0   0 33 37   36 34 37   38 34 37   31 28 29   43 37 37   50 43 43   48 44 45   47 45 46   48 46 47   50 48 50   52 50 53   53 51 54   54 52 55   54 54 57   56 56 58   59 59 60   57 57 58   58 58 58   58 58 58   61 61 61   64 64 64   64 64 65   64 64 64   47 46 47   23 22 23   3 2 2   1 1 1   1 1 1   2 2 2   2 2 2   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   18 18 18   
18 18 18   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 0   8 5 3   0 31 29   36 34 32   33 33 32   36 33 34   37 33 37   38 36 37   39 37 38   42 40 41   44 42 43   45 43 44   45 43 44   47 45 46   47 45 46   48 46 47   50 48 50   52 50 53   53 51 54   54 52 55   56 56 56   57 57 57   58 58 58   58 58 58   60 60 60   63 63 63   64 64 65   65 65 68   67 67 69   68 68 70   74 72 73   74 72 73   31 28 28   3 3 2   2 2 2   1 1 1   2 2 2   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   18 18 18   
17 17 17   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   7 5 2   32 27 24   38 33 31   33 31 30   33 32 32   0 33 34   37 34 0   38 36 37   39 37 38   41 39 40   42 40 41   44 42 43   45 43 44   47 45 46   47 45 46   48 46 47   50 48 50   52 50 53   53 51 54   54 52 55   56 56 56   57 57 57   58 58 58   58 58 58   59 59 59   62 62 62   63 63 64   64 64 67   66 66 68   67 67 69   70 68 69   68 66 67   74 72 72   29 29 29   0 0 0   2 2 2   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   17 17 17   
18 18 18   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   0 0 0   13 8 8   39 32 32   33 27 27   0 32 33   32 32 32   0 33 34   36 34 0   38 36 37   39 37 38   41 39 40   42 40 41   44 42 43   45 43 44   47 45 46   47 45 46   48 46 47   50 48 50   52 50 53   53 51 54   54 52 55   56 56 56   57 57 57   58 58 58   58 58 58   59 59 59   62 62 62   63 63 64   64 64 67   66 66 68   67 67 69   70 69 71   70 68 69   74 72 73   55 55 55   0 0 0   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   18 18 18   
18 18 18   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   26 22 21   39 32 32   34 27 28   34 31 31   33 32 33   0 33 34   36 34 0   38 36 37   39 37 38   41 39 40   42 40 41   44 42 43   45 43 44   47 45 46   47 45 46   48 46 47   50 48 50   52 50 53   53 51 54   54 52 55   56 56 56   57 57 57   58 58 58   58 58 58   59 59 59   62 62 62   63 63 64   64 64 67   66 66 68   67 67 69   68 68 70   69 69 71   73 72 74   60 60 59   4 4 4   1 1 2   1 1 4   1 1 2   1 1 1   1 1 0   1 1 1   1 1 1   18 18 18   
17 17 17   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   1 1 1   27 23 22   39 33 34   39 33 0   34 31 32   32 32 32   0 33 34   37 34 0   38 36 37   39 37 38   41 39 40   42 40 41   44 42 43   45 43 44   47 45 46   47 45 46   48 46 47   50 48 50   52 50 53   53 51 54   54 52 55   56 56 56   57 57 57   58 58 58   58 58 58   59 59 59   62 62 62   63 63 64   64 64 67   66 66 68   67 67 69   68 68 70   69 69 71   71 71 73   69 69 68   13 13 13   1 1 2   2 2 4   0 0 1   0 0 0   0 0 0   0 0 0   0 0 0   17 17 17   
18 18 18   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   0 0 0   11 10 10   0 30 32   0 30 31   32 30 31   33 32 32   0 33 34   37 34 0   38 36 37   39 37 38   41 39 40   42 40 41   44 42 43   45 43 44   47 45 46   47 45 46   48 46 47   50 48 50   52 50 53   53 51 54   54 52 55   56 56 56   57 57 57   58 58 58   58 58 58   59 59 59   62 62 62   63 63 64   64 64 67   66 66 68   67 67 69   68 68 70   69 69 71   74 74 75   55 55 55   1 1 1   2 2 3   2 2 4   1 1 2   1 1 1   1 1 0   1 1 1   1 1 1   18 18 18   
18 18 18   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   2 2 2   24 23 24   37 34 0   32 30 31   0 32 33   37 33 34   38 34 34   38 36 0   39 37 37   40 39 39   41 39 40   43 42 42   44 44 45   46 44 45   47 45 46   48 46 47   50 48 50   52 50 53   53 51 54   54 52 55   56 56 56   57 57 58   58 57 61   59 58 62   59 58 61   61 61 60   62 62 63   64 63 68   65 64 69   66 66 69   67 67 69   73 73 75   70 70 71   26 26 26   1 1 1   2 2 2   1 1 2   1 1 2   1 1 1   1 1 1   1 1 1   1 1 1   18 18 18   
18 18 18   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   0 0 0   4 4 4   24 23 24   37 33 34   39 34 0   41 0 37   42 36 36   41 38 36   43 39 38   42 39 38   43 41 42   42 41 42   45 45 46   47 45 46   47 45 46   48 46 47   50 48 50   52 50 53   53 51 54   54 52 55   56 56 54   57 57 56   58 57 60   60 59 63   60 60 63   66 66 64   66 66 67   68 67 74   69 68 73   71 70 75   71 71 73   58 58 59   19 19 19   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   18 18 18   
17 17 17   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   1 1 1   0 0 0   1 0 1   15 13 14   20 18 18   20 18 19   22 18 18   24 19 18   24 20 19   22 18 17   23 20 21   43 41 42   46 44 45   47 45 45   48 45 47   48 46 47   50 48 50   52 50 53   53 51 54   54 52 55   56 56 54   57 57 55   59 59 57   52 52 50   18 18 17   31 31 29   37 37 37   36 36 39   36 36 39   39 39 41   26 26 28   2 2 2   0 0 0   1 1 1   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   17 17 17   
18 18 18   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   1 0 0   1 0 0   0 0 0   9 7 8   43 42 43   45 45 46   46 45 45   47 45 46   48 46 47   50 48 50   52 50 53   53 51 54   54 52 55   56 56 57   57 57 55   61 61 57   42 41 37   1 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   18 18 18   
18 18 18   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 2 1   1 1 1   0 0 0   9 9 9   42 42 42   45 45 45   47 46 46   47 45 46   48 46 47   50 48 50   52 50 53   53 51 54   54 52 55   56 55 59   57 57 58   62 60 58   46 44 42   2 0 0   3 1 4   2 1 4   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   18 18 18   
17 17 17   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 1 0   0 2 1   0 1 0   2 2 2   29 28 28   46 44 44   47 44 45   47 45 45   47 45 46   48 46 47   50 48 50   52 50 53   53 51 54   54 53 55   55 56 58   57 57 58   61 58 59   60 55 57   11 8 9   1 0 2   2 0 2   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   17 17 17   
18 18 18   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   2 0 1   2 0 1   2 0 1   1 1 1   1 0 0   5 2 4   45 40 41   47 40 42   50 43 45   48 44 45   47 46 46   48 46 47   50 48 50   52 50 53   53 51 54   54 53 55   55 56 55   57 57 56   60 57 58   65 60 62   30 25 27   0 0 0   2 1 1   1 1 2   1 1 2   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   18 18 18   
18 18 18   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   0 0 0   6 5 6   41 38 39   45 41 43   47 43 44   47 45 46   47 45 46   48 46 47   50 48 50   52 50 53   53 51 54   54 52 55   56 56 56   57 57 57   58 57 58   66 65 65   39 38 38   0 0 0   1 1 1   1 1 2   1 1 2   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   18 18 18   
17 17 17   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   1 1 1   2 2 2   0 0 0   16 15 15   43 42 43   44 42 43   45 43 44   47 45 46   47 45 46   48 46 47   50 48 50   52 50 53   53 51 54   54 52 55   56 56 56   57 57 57   57 58 58   61 62 61   41 42 41   1 1 1   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   17 17 17   
18 18 18   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   0 0 0   21 21 21   44 42 43   44 42 43   45 43 44   47 45 46   47 45 46   48 46 47   50 48 50   52 50 53   53 51 54   54 52 55   56 56 56   57 57 57   58 58 58   59 59 59   58 58 58   6 6 6   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   18 18 18   
18 18 18   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   0 0 0   10 10 10   38 38 38   42 40 41   44 42 43   45 43 44   47 45 46   47 45 46   48 46 47   50 48 50   52 50 53   53 51 54   54 52 55   56 56 56   57 57 57   58 58 58   58 58 58   62 62 62   24 24 24   0 0 0   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   18 18 18   
